GeneID	Length	X.home.xubuntu.Desktop.Mjaw..3.files1.SLO1_1.fq.gz.subread.BAM	X.home.xubuntu.Desktop.Mjaw..3.files1.SLO3_1.fq.gz.subread.BAM	X.home.xubuntu.Desktop.Mjaw..3.files1.SLO4_1.fq.gz.subread.BAM	X.home.xubuntu.Desktop.Mjaw..3.files1.SLO5_1.fq.gz.subread.BAM	X.home.xubuntu.Desktop.Mjaw..3.files1.SLO7_1.fq.gz.subread.BAM	X.home.xubuntu.Desktop.Mjaw..3.files1.SLO8_1.fq.gz.subread.BAM
653635	1769	124	96	115	137	71	118
100422834	138	0	0	0	0	0	0
645520	1130	0	0	0	0	0	0
79501	918	0	0	0	0	0	0
729737	3402	158	197	254	169	496	293
100507658	793	1	0	2	4	4	3
100132287	4370	3	12	7	7	10	2
100288646	472	0	0	0	0	0	0
729759	939	0	0	0	0	0	0
100131754	1019	1	132	0	4	0	6
81399	939	0	0	0	0	0	0
100287654	472	0	0	0	0	0	0
100133331	4273	11	46	31	41	67	50
100288069	1371	45	53	41	42	36	35
100287934	1194	36	11	14	23	20	25
400728	1925	62	40	24	31	26	34
79854	1317	95	65	64	70	50	50
643837	1543	55	52	26	63	68	63
100506327	2478	19	36	37	36	25	66
284593	1706	0	0	0	0	0	0
284600	3450	1	1	2	1	0	1
100130417	496	0	0	0	0	0	1
148398	2554	6	7	5	4	8	15
26155	2800	334	335	392	427	331	287
339451	2560	83	101	91	84	99	73
84069	2440	11	12	7	5	6	6
84808	3040	2	4	2	4	4	2
57801	1040	4	4	12	9	1	6
9636	667	147	93	143	103	58	92
375790	7319	53	54	63	28	49	47
401934	1122	0	0	0	0	0	0
54991	2104	56	55	73	75	57	58
406984	95	0	0	0	0	0	0
406983	90	0	0	0	0	0	0
554210	83	0	0	0	0	0	0
100506376	3532	0	0	0	1	0	0
254173	3130	1	1	0	2	1	0
8784	1200	11	21	20	89	10	14
7293	1068	16	21	14	79	23	19
51150	2138	563	668	619	724	593	469
126792	2793	214	231	171	258	154	188
388581	1036	0	4	0	1	2	2
118424	2437	293	313	287	293	298	239
6339	2684	16	27	18	31	26	40
116983	3759	286	424	338	386	395	345
126789	1240	40	75	58	76	68	64
54973	2135	460	567	544	552	467	452
80772	2193	64	87	63	62	82	96
83756	2559	27	28	25	20	26	45
1855	2924	181	276	210	250	216	210
54587	2273	35	24	29	39	33	52
100506404	993	0	5	2	3	2	1
54998	1147	161	192	161	215	161	134
81669	3631	813	787	811	1028	797	1051
148413	1748	204	184	177	221	173	164
55052	733	251	205	199	249	164	170
441869	2018	1	3	0	0	0	1
643965	492	0	0	0	1	0	0
100288271	805	0	0	0	0	0	0
64856	4659	0	1	1	1	1	0
219293	3859	5	12	1	4	2	7
83858	2433	83	92	104	90	90	85
55210	2807	58	57	69	60	47	45
339453	1117	1	0	0	1	0	2
29101	1303	623	600	567	662	474	554
643988	2083	26	51	18	22	23	22
142678	3574	152	214	199	240	274	271
8510	1240	0	0	1	5	1	1
984	2335	171	216	232	197	181	226
728661	6003	886	999	1462	1152	760	822
8511	906	1	1	0	0	0	0
728642	2628	301	293	252	476	260	438
100506482	2086	196	464	145	515	346	775
9906	1430	105	157	105	181	161	224
65220	3235	2823	2701	2248	2679	2777	2047
2782	3128	2897	4062	3613	4389	3178	3060
163688	1101	0	3	2	2	3	2
339456	958	0	0	0	0	0	1
85452	4710	0	0	1	1	0	0
2563	1925	0	4	1	2	0	4
5590	2789	78	47	52	70	69	78
100506504	2247	21	11	18	10	20	33
199990	2742	21	49	43	37	46	42
100128003	4543	44	43	50	45	36	60
6497	5707	263	478	548	522	536	866
79906	1641	19	14	19	28	22	25
100129534	2248	6	3	10	8	10	8
11079	3102	969	958	920	1129	810	821
5192	2074	56	45	38	67	45	41
9651	4837	62	97	146	116	194	143
55229	2642	309	303	298	352	331	306
388585	1306	0	0	0	0	0	0
115110	2209	34	28	53	39	29	29
100133445	603	69	86	62	88	57	48
8764	1707	1031	1116	896	1071	837	624
100506589	697	13	18	24	22	21	24
127281	2709	91	112	110	138	131	88
79258	2902	6	7	5	6	1	1
100287898	1775	0	1	0	1	0	2
140625	1422	0	0	0	0	0	0
440556	3848	0	0	0	0	0	0
63976	8723	0	0	1	0	1	0
100422968	61	0	0	0	0	0	0
27237	2904	1	0	1	1	0	1
1953	7439	289	209	178	307	408	594
693135	96	0	0	0	0	1	0
127262	2428	263	415	423	519	797	406
49856	1699	204	228	196	215	215	166
7161	3118	1	4	0	1	5	2
100506635	555	0	0	0	0	0	0
57212	6455	324	294	232	375	334	314
148870	2174	0	0	1	3	1	0
388588	546	18	25	4	4	160	7
57470	2648	498	478	512	665	411	419
9731	6458	505	484	580	664	546	540
1677	3028	157	149	201	195	163	163
339448	1666	253	224	318	312	204	187
100133612	1952	7	17	11	8	9	5
728716	559	0	0	0	1	0	0
284661	2074	0	0	0	0	0	0
55966	3317	8	2	3	1	2	11
261734	5002	88	131	126	110	96	86
8514	3171	1046	1521	1484	1402	1295	1250
